cluster,label,n,win_rate,log_odds,nw,nl
2,privacy · data · ethical · trust · information,1770,0.53954802259887,0.2585854237144073,955,815
6,action · value · core · choice · argue,927,0.52319309600863,0.16380826789766773,485,442
7,cooperation · trust · communication · cooperation requires · cooperation demands,994,0.5231388329979879,0.1635045037271431,520,474
5,care · harm · demands · justice · protection,1975,0.4956962025316456,0.005190114877364102,979,996
1,sustainability · term · sustainability demands · long · long term,799,0.49436795994993743,-0.0024475805083505327,395,404
8,ai · human · ethical · ai role · systems,1703,0.4938344098649442,-0.0055467577741092735,841,862
9,ethical · professionalism · truthfulness · demands · professionalism demands,1767,0.4855687606112054,-0.05324107620051701,858,909
3,risks · harm · trust · risk · term,2648,0.48376132930513593,-0.06369292693950636,1281,1367
4,users · learning · user · term · human,2451,0.47164422684618523,-0.1337293220950685,1156,1295
0,creativity · creativity thrives · creativity demands · creative · innovation,1116,0.4668458781362007,-0.161419827895513,521,595
