,Care/Protection,Communication/Cooperation,Creativity,Justice/Equality/Freedom/Respect,Privacy,Professionalism,Sustainability,Truthfulness,Wisdom/Learning
Care/Protection,0.0,,,,,,,,
Communication/Cooperation,12.333333333333334,0.0,,,,,,,
Creativity,11.5,11.166666666666666,0.0,,,,,,
Justice/Equality/Freedom/Respect,12.5,12.166666666666666,10.5,0.0,,,,,
Privacy,10.666666666666666,13.5,10.666666666666666,13.333333333333334,0.0,,,,
Professionalism,11.5,13.5,9.166666666666666,14.833333333333334,11.666666666666666,0.0,,,
Sustainability,12.0,12.333333333333334,12.333333333333334,10.833333333333334,11.333333333333334,13.333333333333334,0.0,,
Truthfulness,14.5,14.0,10.833333333333334,12.333333333333334,11.5,13.0,13.5,0.0,
Wisdom/Learning,12.0,12.0,12.0,13.0,12.333333333333334,12.333333333333334,11.833333333333334,14.666666666666666,0.0
